iter	Passed	Remaining
0	11	4759
1	25	4995
2	39	5229
3	54	5390
4	71	5610
5	85	5599
6	100	5647
7	114	5621
8	128	5592
9	144	5621
10	159	5647
11	174	5635
12	190	5679
13	206	5704
14	222	5706
15	240	5783
16	259	5846
17	275	5849
18	292	5859
19	307	5844
20	323	5846
21	342	5885
22	363	5954
23	383	6005
24	401	6018
25	422	6073
26	445	6152
27	462	6144
28	477	6111
29	493	6081
30	508	6050
31	524	6035
32	540	6009
33	555	5975
34	577	6019
35	593	6000
36	610	5986
37	625	5959
38	640	5926
39	654	5893
40	671	5876
41	687	5856
42	714	5934
43	726	5881
44	739	5833
45	754	5802
46	767	5765
47	783	5744
48	799	5723
49	813	5691
50	826	5659
51	841	5629
52	858	5618
53	872	5590
54	888	5570
55	905	5564
56	924	5566
57	939	5542
58	954	5515
59	968	5489
60	983	5467
61	1000	5454
62	1014	5428
63	1030	5411
64	1045	5388
65	1059	5363
66	1073	5334
67	1087	5308
68	1103	5292
69	1116	5263
70	1131	5241
71	1145	5218
72	1159	5192
73	1173	5171
74	1187	5144
75	1202	5125
76	1215	5100
77	1231	5083
78	1246	5066
79	1268	5072
80	1283	5054
81	1304	5060
82	1324	5059
83	1339	5040
84	1355	5023
85	1371	5008
86	1393	5013
87	1412	5006
88	1434	5011
89	1450	4997
90	1468	4986
91	1484	4968
92	1499	4950
93	1514	4930
94	1531	4917
95	1546	4897
96	1561	4879
97	1577	4862
98	1592	4842
99	1608	4824
100	1625	4813
101	1641	4795
102	1657	4778
103	1676	4770
104	1690	4750
105	1705	4731
106	1723	4718
107	1739	4704
108	1756	4688
109	1771	4670
110	1788	4655
111	1804	4640
112	1822	4630
113	1841	4620
114	1859	4608
115	1876	4593
116	1891	4575
117	1908	4561
118	1926	4550
119	1943	4533
120	1957	4514
121	1973	4496
122	1989	4479
123	2004	4462
124	2025	4455
125	2042	4440
126	2056	4420
127	2079	4419
128	2095	4401
129	2111	4384
130	2125	4365
131	2141	4348
132	2157	4330
133	2171	4309
134	2186	4291
135	2202	4275
136	2218	4258
137	2234	4241
138	2251	4226
139	2267	4211
140	2283	4194
141	2299	4177
142	2314	4160
143	2330	4142
144	2346	4127
145	2362	4110
146	2377	4092
147	2392	4074
148	2405	4052
149	2420	4034
150	2435	4015
151	2452	4001
152	2468	3985
153	2495	3986
154	2513	3972
155	2529	3955
156	2543	3937
157	2557	3917
158	2572	3899
159	2585	3878
160	2600	3860
161	2620	3849
162	2634	3831
163	2649	3812
164	2664	3795
165	2683	3782
166	2747	3833
167	2812	3884
168	2830	3868
169	2862	3872
170	2877	3853
171	2895	3838
172	2910	3818
173	2924	3797
174	2937	3777
175	2951	3756
176	2964	3735
177	2980	3717
