feature,importance
engagement_rate,0.6648285
like_rate,0.20720395
comment_rate,0.049473137
tts_word_count,0.009125349
youtube_like_count,0.0054478836
num_hashtags_in_title,0.004134034
like_to_comment_ratio,0.004025849
title_subjectivity,0.0038505709
description_length_chars,0.003494434
description_num_mentions,0.0034800246
num_tts_segments,0.0034631847
title_sentiment,0.003392666
text_to_speech_word_count,0.0028394957
description_subjectivity,0.0028336565
title_length_chars,0.002697695
youtube_view_count,0.0026872738
num_hashtags_in_description,0.0024209714
num_trim_suggestions,0.0023862154
description_sentiment,0.0023609677
youtube_comment_count,0.0023592073
audience_engagement_index,0.0021607631
title_has_exclamation_mark,0.0020052304
title_word_count,0.0017745035
views_per_subscriber,0.001689945
meta_description_sentiment,0.0016171152
comments_per_subscriber,0.0013807957
duration_seconds,0.0011984714
num_scenes,0.0011788849
youtube_channel_follower_count,0.001013835
fps,0.00093231234
meta_description_length,0.0008979236
description_num_links,0.00057178095
likes_per_subscriber,0.000404584
description_has_question_mark,0.0002581434
description_word_count,0.0002560342
title_has_question_mark,0.00015460521
description_has_exclamation_mark,0.0
has_storyline,0.0
num_qa_pairs,0.0
youtube_age_limit,0.0
video_completeness_score,0.0
tts_quality_indicator,0.0
production_polish_score,0.0
is_short_form,0.0
is_long_form,0.0
