feature,importance
description_has_exclamation_mark,0.05866036
youtube_comment_count,0.05089682
youtube_like_count,0.05047837
youtube_view_count,0.033050504
tts_word_count,0.031500407
description_num_mentions,0.030060403
text_to_speech_word_count,0.029169131
title_has_question_mark,0.027027471
num_tts_segments,0.02662594
comment_rate,0.026111541
description_has_question_mark,0.023378156
youtube_channel_follower_count,0.022659367
video_completeness_score,0.022603804
comments_per_subscriber,0.022496874
duration_seconds,0.022111244
fps,0.021826828
description_word_count,0.021465685
num_scenes,0.021350184
title_word_count,0.021349587
like_rate,0.02133772
title_length_chars,0.02125344
audience_engagement_index,0.021182926
description_num_links,0.02113412
num_hashtags_in_title,0.020740787
title_sentiment,0.020709485
description_sentiment,0.020690681
title_has_exclamation_mark,0.02065948
description_length_chars,0.020659335
description_subjectivity,0.020653255
like_to_comment_ratio,0.020512152
meta_description_sentiment,0.020330448
num_hashtags_in_description,0.020312749
engagement_rate,0.019991888
views_per_subscriber,0.01970704
likes_per_subscriber,0.0195974
meta_description_length,0.018088013
title_subjectivity,0.018070493
num_qa_pairs,0.017866466
production_polish_score,0.015114905
num_trim_suggestions,0.014817817
youtube_age_limit,0.013175543
is_short_form,0.0105711315
has_storyline,0.0
tts_quality_indicator,0.0
is_long_form,0.0
