feature,importance
content_parent_category,99.66948952317068
youtube_description,0.330510476829324
comments_per_subscriber,0.0
description_word_count,0.0
description_has_question_mark,0.0
description_has_exclamation_mark,0.0
num_hashtags_in_description,0.0
description_num_mentions,0.0
description_num_links,0.0
description_sentiment,0.0
description_subjectivity,0.0
views_per_subscriber,0.0
likes_per_subscriber,0.0
youtube_title,0.0
description_length_chars,0.0
engagement_rate,0.0
like_rate,0.0
comment_rate,0.0
like_to_comment_ratio,0.0
meta_description_length,0.0
meta_description_sentiment,0.0
video_completeness_score,0.0
tts_quality_indicator,0.0
production_polish_score,0.0
is_short_form,0.0
audience_engagement_index,0.0
title_subjectivity,0.0
title_sentiment,0.0
fps,0.0
content_fine_category,0.0
youtube_channel,0.0
duration_seconds,0.0
text_to_speech_word_count,0.0
youtube_view_count,0.0
youtube_comment_count,0.0
youtube_like_count,0.0
youtube_channel_follower_count,0.0
youtube_age_limit,0.0
num_scenes,0.0
num_hashtags_in_title,0.0
num_qa_pairs,0.0
num_trim_suggestions,0.0
has_storyline,0.0
tts_word_count,0.0
num_tts_segments,0.0
title_length_chars,0.0
title_word_count,0.0
title_has_question_mark,0.0
title_has_exclamation_mark,0.0
is_long_form,0.0
