resolution,duration_seconds,content_parent_category,content_fine_category,youtube_title,youtube_description,text_to_speech_word_count,youtube_categories,youtube_tags,youtube_channel,youtube_view_count,youtube_comment_count,youtube_like_count,youtube_channel_follower_count,youtube_upload_date,youtube_age_limit,text_to_speech,fps,meta_title,meta_description,num_scenes,sector
640x360,208,Education,Engineering Projects,Training Heavy Equipment Operators,"WorkBC has developed a Heavy Equipment Operator training course with the Southern Interior Construction Association to provide skills training opportunities in the Okanagan.

Read more: https://news.gov.bc.ca/releases/2016SDSI0016-000673",622,['News & Politics'],"['Province of BC', 'British Columbia', 'Heavy equipment', 'construction', 'bulldozer', 'excavator', 'front loader', 'skills training', 'skills upgrade', 'skills']",GovernmentofBC,89462,0,555,34800,20160511,0,we're in West Bank BC in the heart of the reserve and I'm part of this heavy equipment operators course and yeah I'm loving it with the email Anderson for about a year but my whole life growing up I was exposed to it a lot my dad always show me all the equipment we get our class time go through all that and then after we get to go on the equipment for a couple hours and get used to it when you leave here at the end of the day you know you're more familiar with the machines and the basic understanding of how they work and what they do I think it's amazing for the fact that clients actually get a lot of hours on the equipment so usually when they go for training in this field they get a couple of hours but not necessarily everything they need to be successful so it's more than just an education they're getting the hours and employers are looking for when they make their hiring decisions give them a huge leg up compared to everybody else the cool thing about these projects is it's based on what the community needs so it actually comes from the partnerships between the institutions employers and education providers so they actually create the project and presented to us to see if there's a need to fill it so it's extremely flexible completely customizable for what employers need and what the issues they're facing as an association were funded by construction companies who will join our association and so what that provides us with is an opportunity to actually bring an employer to the table so we very clearly understand what their needs are they've communicated a need for skilled workers and this provided us an opportunity to fill that void it deals with the losses capability to do the training on the ground and to essentially provide skilled workers for our construction community that needs those workers I'm responsible for civil construction for various projects throughout the southern interior I hire many different contractors including Aboriginal businesses Adam Christian worked with us number of years ago Adam approached us to see if you get back on in his absence he had attained some further training equipment operating and brought that back with them for us and we've been able to utilize that and make them more employable with us and and just add more resources for us that way velocity offered from other safety training different tickets on top of the operating stuff yet they bring their training to you instead of you having to go to them which was big their instructors are confident and they good leadership in that nice atmosphere the success rate is high I think we're seeing something like 80 percent passing rate a really of greater importance we're seeing something like a high 70 percent employment rate so not only are they completing the course they're getting these skill training they're learning how to operate mobile equipment at the same time learning how to maintain the equipment how to work around it safely it provides them with a broad range of skills I think the biggest thing is that if anyone has any questions around employment to come and talk to us you know a lot of employers aren't sure what can be a good fit or what is something that would actually work and what we found especially in the employment program is there's so many things that we can do that's hard for us to describe it one soundbite so if they come and have that conversation we can really see how we can work together you,23.976024615513296,Heavy Equipment Operators Course Promo,"A video highlighting the Heavy Equipment Operators course, focusing on its benefits, collaboration between institutions, and testimonials from clients and coordinators.",5,Education
270x480,60,Education,Documentaries,Flashback to when Paul Stamets found Agarikon in the Old Growth Forest!,"Circa 2008.

Filmed by Dusty Yao

#agarikon #paulstamets #mushroomeducation #shorts",209,['Science & Technology'],"['agarikon', 'oldgrowthforest', 'paulstamets', 'shorts']",Fungi Perfecti,367949,587,19411,159000,20221208,0,just are leaving Brighton Bush hot springs and saw a beautiful growth forest and we came in here and then we saw a blue tag basically saying that this entire Forest is going to be cut so we're 200 feet away from the road beautiful old growth forest and we're hiking in here and we find uh an old friend this is funny tops as a fish now it's a garakon otherwise known as equina and fungus this area is going to be totally destroyed here in the next year it's a perfect opportunity for us to get a another strain in the culture this one's probably about 40 or 50 years old it's still alive at the bottom here we would normally just take a small piece of tissue and besides my fingernail and take it back to the laboratory but in this case the loggers are going to totally destroy the situation uh here so we may as well Harvest it harvesting this is easier said than done or maybe not look at this it's giving itself up look how easy that is whoa whoa it just gave itself up and um and so there's this tissue here that won't get the culture from that was sweet,30.0,Mushroom Discovery and Harvest in an Old Growth Forest,The video follows a narrator/harvester in an old growth forest as he discovers and harvests a large mushroom while discussing the forest's impending destruction.,2,Education
640x360,420,Education,Cultural Explainers,10 Reasons Why Australia Is The Best Country In The World,"#Geography

More fun geography videos:

100 Extraordinary Geography Facts:
https://youtu.be/-BnuqQOSKyM

40 Random Ridiculous Geography Facts:
https://youtu.be/f3EaUsEFsBA

30 Geography Facts Most People Get Wrong:
https://youtu.be/Gb7avAElTNo

🌎Subscribe to The Geography Bible to learn more about countries, geography and cities from around the world!",1128,['Travel & Events'],"['australia', 'best country', 'canada vs australia', 'best country in the world', 'australia best country', 'what is the best country', 'best places to live in australia', 'australia is the best country in the world', 'why australia is best country in the world', 'australia vs canada', 'why australia is the best country in the world', 'australia country', 'uk vs australia', 'australia facts', 'best cities in australia', 'why australia is best', 'australia best place', 'australians best', 'oz', 'aus best country', 'aussie']",The Geography Bible,114927,866,3067,164000,20210511,0,ah australia the land down under the sixth largest country in the world by land size but only the 55th most populated australia is one of if not my favorite country in the world after visiting there multiple times throughout my life i can truly vouch for how amazing it is australia has it all big fun cities tropical beaches rainforests desert and interesting historical culture so in this video we've made a list of 10 reasons why australia is the best country in the world and this is coming from a brit if you disagree with any of our points or perhaps you are australian yourself and you can confirm them then let us know in the comments section below we love reading your comments so starting off with number 10 it's population density although it's major cities like sydney melbourne and brisbane may be rather densely populated australia as a whole is one of the least densely populated countries on earth i think we can all agree this is a positive thing as who would want to live in a crowded congested place australia has roughly 3.3 people per kilometers squared making it the sixth most sparsely populated country on earth western australia is even lower at just 2.5 people per kilometers squared perth the main city of western australia is one of if not the most isolated city in the world the nearest city with a population of over 100 000 is adelaide over 2100 kilometers away number nine the lifestyle the australian lifestyle favors the enjoyment of free time with family friends sports and contact with nature work is a fundamental value of society but must be accompanied by the necessary time for rest and recreational activities the majority of australia experiences fantastic weather year rounds meaning that barbecues outdoor socializing and swims in the sea are a part of everyday life try doing that in the uk in the middle of january you will end up with hypothermia number eight high minimum wage and great salaries nowhere else in the world would you get such a high minimum wage when you compare the minimum wage of australians to any other country you would find that the pay rate is more than ten dollars higher than the competitor countries this includes large countries like the uk the us france and any other country in between jobs that pay quite decently in the uk are usually super highly paid in australia especially jobs in construction and finance number seven high health score australia is one of the world's healthiest countries for several different reasons australia offers its people one of the world's best health care systems it has one of the lowest infant mortality scores and a high life expectancy smoking is low in australia too with a continuously declining number of smokers the vitamin d that they get from the sunshine surely must be a factor too being outside being active and healthy in the sun is a lot better for your mental and physical health than staying indoors in the freezing cold dark nights like we have in the winter in the uk number six the beaches where else in the world can you go to a new beach every day and it will take you 27 years if you want to accomplish that well that's australia for you there's so many beaches it would take you 27 years to visit every beach if you visited one every single day what is more an aussie beach is hard to beat from the magnificent city beaches to the pumping surf of the unspoiled wild and natural beaches every beach is a contender to be better than any other beach in the rest of the world number five major attractions it is impossible to live in australia and wonder where you could go for your next vacation because there's so many choices this country certainly has it all from sydney to melbourne to the great barrier reef to the giant lake the majestic outback and the unblemished beauty of the northern territory you will love australia australia has something for everyone number four it has every type of climate and terrain from mountains to beaches to rainforests to deserts quite similar to the usa australia is so big it has every type of climate and terrain there is to offer there is no need to leave your country if your country offers everything the world has to offer for example in the uk we do have beaches and forests but we certainly do not have those tropical beaches that australia offers number three the people in my opinion aussies are friendlier than most other citizens from around the world sometimes even too friendly some say it's the weather others say it's the carefree attitude the aussie motto is she'll be right which means don't stress it's all good in australia you're someone's mate until proven otherwise this includes your boss as well as that annoying next-door neighbor you'll be amazed by the welcoming and laid-back nature of the natives aussies and brits are like two brothers they do argue and they fall out sometimes but deep down we really do like each other number two tasmania has the world's cleanest air the north western tip of tasmania on the cape grim peninsula is where you'll find the cleanest air in the world this is because the air is cleaned while it travels for thousands of kilometers over the ocean before arriving at the tasmanian coast heck it's so good they even sell cans and bottles of air to other countries who have polluted air and finally number one wildlife australia horse a high biodiversity compared to other regions in the world it has very unique wildlife such as kangaroos koalas quakers and many more native animals and plants are waiting for you these squirrels in london's hyde park are adorable but would you miss the opportunity to meet kangaroos hug a koala or take a quacker selfie on rottnest island off the coast of perth yes australia is home to deadly creepy crawlies and snakes but they are extremely rare in urban areas so there we have it 10 reasons why we think australia is the best country in the world of course just like any other country in the world it's not perfect it does have some drawbacks but we believe that australia ranks highly in so many different areas thank you so much for watching have a great week and we'll see you soon and of course remember to like and subscribe if you want to see more we've got plenty more to come thanks so much again and we'll see you soon,30.0,10 Reasons Why Australia is the BEST Country in the World!,"A video highlighting the reasons why Australia is considered a great country, focusing on its natural beauty, lifestyle, and other appealing factors.",12,Education
640x360,186,Education,Software Tutorials,How to Install Ring Video Doorbell 3 or 3 Plus - Wired Install,"Learn how to install Ring Video Doorbell 3 and Ring Video Doorbell 3 Plus without wiring to an existing doorbell system.

Need help with your Ring device? Visit https://support.ring.com 

Home security starts at the front door with Video Doorbell 3 – our next-generation doorbell with added security features. Always know what’s happening, day or night. Customize your motion settings, including the added near motion zone, to focus on key areas. Enjoy a more reliable connection and faster alerts with enhanced dual-band WiFi. And control it all anytime, anywhere from the Ring app. With Video Doorbell 3, you’ll be closer to home than ever before.

Build Your Ring of Security: https://shop.ring.com/pages/security-system 
Get Ring for your whole home: https://shop.ring.com
Tweet us at https://twitter.com/ring
See more Ring stories at https://facebook.com/ring
Follow us on https://instagram.com/ring
For the latest news and tips on home security, visit https://blog.ring.com

Ring provides effective, affordable whole-home security that works together to give you peace of mind. Upgrade your home security with Ring video doorbells, smart lighting, an alarm system and in 2021, an autonomously flying indoor security camera that gives you multiple viewpoints with one device. So no matter where you are, with Ring you’re always home. Check out the full line of Ring smart home security products at ring.com

#RingHelp #SecurityCamera #RingVideoDoorbell",520,['Science & Technology'],"['security cameras', 'home security system', 'security system', 'ring doorbell', 'doorbell cams', 'ring camera', 'wireless security camera', 'security camera system', 'wireless doorbell', 'Ring Alarm', 'ring doorbell 2', 'ring doorbell review', 'ring doorbell installation', 'security camera installation', 'video doorbell', 'ring video doorbell', 'ring video doorbell 3', 'home security', 'how to install ring', 'how to install ring video doorbell', 'how to install video doorbell', 'how to install security system']",Ring,987553,124,3095,500000,20200414,0,this video shows you how to install ring video doorbell 3 or 3 plus if you want to wire it to your existing doorbell system to be compatible your doorbell transformer must supply 8 to 24 volts AC at 50 or 60 Hertz with a maximum power rating of 40 volt amps if your transformer doesn't meet these specs you can install a ring hardwired transformer kit or install your video doorbell wirelessly when you install this way your internal doorbell will ring when someone pushes the button on the front of your video doorbell first fully charge the included battery by plugging it into a USB port or power supply with the included cable we recommend fully charging the battery before installation even if your wiring in your video doorbell you'll know the battery is fully charged when only one of the LED lights is lit slide the battery into its compartment you'll hear a click when the battery is secure now let's set up your doorbell open the ring app and start the setup process then just follow the instructions in the app once setup is complete it's time to install your video doorbell the optimal installation height for video doorbell is 4 feet off the ground if you're connecting video doorbell to existing wires that are higher than 4 feet install the included wedge mount to angle it down for a better view before you begin shut off power at the breaker then remove your existing doorbell button from the wall and disconnect the wires insert the included mini level into this slot on your video doorbell use your video doorbell as a template to mark the install location Center the bubble on the mini level to ensure it's straight if you're installing video doorbell on stucco brick or concrete use the provided drill bit to drill holes into your wall and insert the included anchors into the holes if you're installing on wood or siding you can skip this step then loosen the terminal screws on the back of your video doorbell if your doorbell wires are too short to wire to your video doorbell you can use the included wire extension x' and wire nuts to extend them to do this line each wire extension up with a doorbell wire and twist the wire nut onto them clockwise until they're securely connected now you can secure the doorbell wires under the terminal screws give them a little tug to make sure they're firmly attached it doesn't matter which is which as long as one wire goes to each screw and the wires aren't touching then feed all the wires back into your wall secure your video doorbell using the provided screws next remove the mini level and pop on your faceplate start at the top and click it into place switch the included screw driver bit to the star-shaped end then use it to secure your video doorbell with one of the included security screws turn power on at the breaker and you're done need a little more help head to ring.com slash help [Music],23.976023976023978,Ring Video Doorbell Installation Video Analysis,"A comprehensive analysis of a video tutorial for installing the Ring Video Doorbell 3, focusing on characteristics like scene breakdown, narrative progression, props, and thematic elements.",4,Education
202x360,56,Education,Marketing Strategies,Write this one thing in your email subject lines to get 40% open rates. #shorts,#email #emailmarketing #marketing #leads #sales,162,['Education'],"['john', 'timmerman', 'email marketing', 'email profissional gmail', 'email marketing strategy', 'leads2b', 'leads marketing', 'marketing', 'digital marketing', 'sales', 'sales marketing interview', 'sales marketing', 'seo', 'performance marketing', 'business', 'leadsquared marketing automation']",John Timmerman | Good Monster,95,1,5,311,20220721,0,here's the email subject line that will get you 40 or more open rate in almost every single cold email that you send now if you're a marketer you're doing maybe seo outreach or you're doing influencer marketing outreach or you're doing affiliate marketing outreach and if you're in sales you're doing cold prospecting and lead generation right but either way you're sending out mass emails hundreds or thousands per day right and in order to get them to actually open your email you need to have an engaging subject line otherwise nothing else matters nothing in that email matters and the email subject line that has worked best for my agency good monster is very simple it is simply writing straight to the point in the subject line this covers every industry this covers almost every single use case you could possibly have right straight to the point in your subject and get your email open rates north of 40 percent,30.0,Video Analysis: Email Subject Line Tips,"This video provides insights and tips on crafting effective email subject lines to improve open rates, emphasizing simplicity and directness.",3,Education
640x360,604,Entertainment,Game Reviews,Forspoken after 100% Completion + Star Ocean The Divine Force PS5 First Impressions,"I think Forspoken's critique was incredibly unfair, leading the company to be bought by Square Enix. Let's talk about it after my 100% completion and Platinum Trophy. I've also started playing Star Ocean The Divine Force for the PlayStation 5.

SUPPORT THE CHANNEL: (including affiliate links)
Become a member on Youtube:  hit Join above.
Patreon: https://www.patreon.com/ircha
Nintendo eShop cards: http://irchagaming.com
Skull & Co. Switch grips: http://skullnco.com/IRCHA discount code ""IRCHA""
EpicLoot Jewelry: https://epiclootshop.com/?ref=f9ojLBA0 discount code ""IRCHA""

Discord: https://discord.gg/XmHmBMr
Podcast: http://youtube.com/diskydisk
Twitter: http://twitter.com/irchagaming
Instagram: http://instagram.com/irchagaming
Merch: https://ircha-gaming-merch.creator-spring.com
Facebook: https://facebook.com/irchagaming
Paypal: http://paypal.me/ircha
Email: irchagaming@gmail.com

00:00 Forspoken final verdict 
05:51 Star Ocean: The Divine Force

NINTENDO SWITCH REVIEWS:
Pokémon Scarlet and Violet: https://youtu.be/0gbyrBSowCM
Xenoblade Chronicles 3: https://youtu.be/lOBOVTe91EM
Fire Emblem Warriors Three Hopes: https://youtu.be/WmnNEQRU9Bg
Rune Factory 5: https://youtu.be/Dt-B6qSCbTw
Atelier Sophie 2: https://youtu.be/Gdqpt2wyaaQ
Pokémon Legends Arceus: https://youtu.be/aho8A8U1k48
Atelier Mysterious Trilogy: https://youtu.be/QB6MKKIX40M
Atelier Ryza 2: https://youtu.be/l3DSQi0ph4Y
Story of Seasons Pioneers of Olive Town: https://youtu.be/L2KC3H2fD_M
Dragon Quest Builders 2: https://youtu.be/fmdn0FQnsDM
Immortals Fenyx Rising: https://youtu.be/31aUuUH1VJg
Astral Chain: https://youtu.be/MD98Gt7-l6k
Xenoblade Chronicles DE: https://youtu.be/2K3xt2IuDmA
Ni No Kuni: https://youtu.be/k7D36xaqT3s
Atelier Ryza: https://youtu.be/41HyhbjgfRI
Graveyard Keeper: https://youtu.be/EMx5hbi5wUA
Dragon's Dogma: https://youtu.be/jz1keaHRHaQ

P.O.box:
""IRCHA GAMING""
Postboks 90
9481 Harstad
Norway

EQUIPMENT & EDITING:
Main camera: Canon 90D
Lens: Sigma 18-35mm f/1.8 DC HSM ART
Vlogging camera: Canon M50 Mark II
Audio: Røde VideoMicro
Software: Premiere Pro CC 2023
I edit everything myself.

#PlayStation5 #Forspoken #Gaming",1751,['Gaming'],"['ircha gaming', 'nintendo switch', 'best switch games', 'gaming', 'best of switch eshop', 'awesome switch games', 'great switch games', 'what to play switch', 'addicting switch games', 'ircha', 'top switch games', 'buy or not', 'switch review', 'forspoken ps5', 'forspoken', 'forspoken review', 'star ocean the divine force', 'star ocean the divine force review', 'playstation 5', 'jrpgs', 'ps5 jrpgs', 'ps5 open world games', 'star ocean', 'Hogwarts legacy', 'square enix', 'forspoken cringe', 'star ocean the divine force gameplay']",Ircha Gaming,38821,468,2251,103000,20230406,0,when it comes to for spoken we need to talk about forespoken and I feel so bad I don't know if you have heard the news but the company got bought by Square Enix and that is probably and most likely and because of the sales of forespoken and a direct result of the council culture I want to call it that actually people were hating so much on the game and maybe I will be one of the few people that will speak up about four spoken and say I loved the game I Platinum trophied for spoken I am replaying for spoken I have done everything in the game I have been enjoying this game so much I need to tell you guys this because like I said in my review Bomb Video this game I feel like it was done unjustly so review bombed and so many negative reviews to forespoke and I don't get it I actually don't get it it is a fantastic open world beautiful game with Park Quarry traversal and this is like the smoothest parkoural traversal I have seen or played in any video game I am so used to that parkour traversal that when I am jumping into another game right now where my character is walking more slowly I feel like I just want to play for spoken again it feels so good and I said this in my previous video about for spoken but it is so fun to play fun to grind in and it was so fun to do all of the trophies for this game my very last trophy being upgrade all your spells I had such a blast at doing this I still think that this is a great game now if you are on the fence sure get it on sale it will most likely go on sale pretty soon because the sales were not doing good but all the negative reviews they were saying that the story was bad and that they didn't like like the character the character could have been improved a tiny bit she was very rude even our thoughts are you know and that cream she cuts in that was kind of viral for a moment that is 0.01 of my game experience in the game that passes by so fast that is like in the beginning of the game and I'm 70 hours in this game or more I don't remember but that did not Define my experience with the game it was actually the open world and let me just tell you the combat the magical combat fantastic when you have unlocked all of the four elements it is so much fun so much fun I cannot stress that enough I feel like the game had sold the developers poured their souls into this game I'm loving the regions of the game and the game does not end after you have completed the main story when the main story is done I feel like that is when the game opens up you have gotten all the four elements there are so many hidden and Secret World bosses to take on and a lot of the late game end game challenges there was one in particular that drove me almost nuts and that is getting to the far Coast Terrace I did it eventually and also that dancing trophy was terrible I had to get neighbor Stefan over here and help me with that one because that one was really hard I found for spoken to be a very good mindless game also when you're done with the story stuff which I paid a lot of attention into it's a great game to turn your brain off in and just mindlessly do all of the objectives on this huge huge map and I did all of the quests and I found the hidden store was so surprised when I found out there are actually a few living NPCs out there in the world now the story is that you are this girl from New York going through this portal long story short to this magical world where there is a break which is like a plague and all the people have sort of died to the plague and I've been reading a lot into the lore of the game which is huge and I think the lore that they created for this fantasy Universe it definitely has the potential to get a sequel but that will probably never happen [Music] because the game was received so badly I just don't get it now of course everyone is entitled to their own opinion I am also and I am saying that I love that it's kind of hard to argue against that the magical Parker the actual way that you are traversing this world thought it is bad the game is fun it is probably the most fun that I've played this year and someone predicted this on Discord sort of saying that oh my God I think Isha likes for spoken more than Hogwarts Legacy they are very different games now Hogwarts Legacy such a game but it is a bit slower I love flying on the Broom I like the quests and I like the gameplay and that too that is beautifully detailed I have two videos of Hogwarts Legacy up on my channel I've been so addicted to that also but for spoken it's just like a different game I like it in a different way maybe yeah I played for spoken more than Hogwarts Legacy at this point I'm not done with Hogwarts Legacy I have 60 hours in that one I think I have 70 in for spoken but for spoken has just been so fun to jump back into I have been gravitated more towards for spoke just letting you guys know I completed the game completely and the end game is where it is at so I don't want you to brush that game off as a bad game because a lot of people are saying that it is bad I will always love this game so I think you should give it a chance sometime [Music] now that I am done with forespoken and sorta soon done with Hogwarts Legacy I am also right now playing a new game it's not new it's sword on you never mind and that is Star Ocean the Divine Force review code provided thank you now when it comes to Star Ocean I'm going into the series blind I have never played a Star Ocean game before I mean I tried faithfulness and integrity integrity and faithlessness I mean I think that was the title terrible title but I did not get into that Star Ocean game with this one I feel the immediate Improvement and I am now becoming a fan of the series at least this game now it is a jrpg with a fun story the story is not this technologically advanced civilization dude is Crash Landing on this technologically far behind planet and he meets this girl Leticia and this guy is trying to find some of the other plants that were landing on this planet it's a whole thing I like the voice acting I like the story I like the world I like the gameplay this game actually surprised me in a lot of ways I did not expect me to play as much as I did or have already played I thought to myself going into this game that I will give it like five hours or something now I'm way past that I think I'm up in 15 because I haven't been able to put this game away the traversal in the open areas it's not an open world game it's more like connected open areas big areas though you have this ability where you can sip fastly like everywhere and it is so much fun now the exploration part it reminds me of a Xenoblade Chronicles game and the combat actually reminds me of East games very fast action-oriented combat very satisfying and the combat music so good [Music] now the game has a skill point system skill trees a lot of customization into every character of your party to make them stronger that is a lot of fun to mess around with the graphics they are good absolutely but I feel like some of the actual animations are a bit stiff and their mouth is not moving correctly when they're talking I have a lot of fun smashing pots and flying on the rooftops doing a bit of side quests this game has a lot of fun factor in it I'm actually surprised by this title and it just passed me by I know happy console gamer said that he didn't get into this game now I got into it I am currently very into this game and I have never liked a Star Ocean game before now and the story is what keeps me playing which very rarely happens I feel like you don't have to have played any other Star Ocean game as I am jumping into this as a new person now I have a few recommendations and that is you can zoom out in the settings it's kind of a hidden feature if you feel like the characters is close to you you consume the character out of it you can play as a female or male in the start of the story you get that choice and some of the story cut scenes are dependent on who you chose if you want to see everything actually you have to play this game twice definitely enjoying star Ocean's the Divine Force so that is what I'm playing on my PlayStation 5 along with a bit of VR check out my video on the psvr2 fun stuff also I hope you give for spoken a second glance at least I think it is deserving of that and now I have recommended to you the newest Star Ocean and I'm telling you it is good xenoblady is like good now that was all for this video thank you so much for watching and liking hitting that like button and subscribing when you are new or if you just haven't subscribed yet thank you so much for watching and I will see you later [Music],29.97,Ircha's Game Reviews & Impressions: Forspoken & Star Ocean,"Join Ircha as she shares her thoughts on two intriguing games, 'Forspoken' and 'Star Ocean: The Divine Force'. Discover what makes these games stand out in the gaming world.",15,Entertainment
480x360,35,Entertainment,Remixes,Prince Charles Remix,We're under the influence,54,['Comedy'],"['Prince Charles', 'remix', 'rudetube', 'bbc', 'dubstep', 'influence']",John Ferrier,1824,4,21,16,20130127,0,well it's an unsettle picture as we head towards the end of the week just 8 Celsius in a Brisk northeasterly wind thank God it isn't a bank Hol we're under the influence best in the West for a Higher Ground we're under the influence aha we're under the influence we're under the influence,29.97002997002997,Unveiling Contrasts: Prince Charles Weather Report & Archival Party Footage,"A video presenting Prince Charles delivering a weather forecast intercut with archival party footage, highlighting contrasting elements between public duties and private celebrations.",5,Entertainment
640x360,183,Entertainment,Music Videos,[집방캠][4K] 헨리(HENRY) - ‘Dance Monkey’+‘Attention’ LIVE | 두시탈출 컬투쇼 | 201126,"설명이 필요 없는 음악 천재 헨리(HENRY)🎵
‘집방캠’이 헨리를 만나서 출구 없는 영상을 만들어버렸다...☆
본인 곡처럼 소화해 버린 헨리의 루프 스테이션 라이브 공연을 즐겨보세요👀👂

에라오에서 선보이는 이 시국 콘텐츠✨
'집'에서 즐기는 라디오 '방'청 1열 '캠'(CAM)📹 = 집방캠
라디오 방청 와서 1열에 앉아 있는 듯 고화질 라이브 공연을 즐기세요!

🎼[LIVE] 헨리(HENRY) - ‘Dance Monkey’+‘Attention’

#헨리 #HENRY #DanceMonkey #Attention #LoopStation
#집방캠 #컬투쇼 #두시탈출컬투쇼 #라이브

SBS 파워FM 107.7MHz
매일 낮 2시~4시 두시탈출 컬투쇼
*2020년 11월 26일* 방송중",147,['Music'],"['sbs라디오', '에라오', '라디오', '보는라디오', '헨리', 'Henry', '컬투쇼헨리', '헨리라디오', 'DanceMonkey', '댄스몽키', '헨리라이브', '루프스테이션', 'radio']",SBS Radio 에라오,376302,487,0,1500000,20201126,0,[Music] [Applause] uh [Music] they say oh my god i see the way you shine take your wind my dear and place them both in mine you know you stopped me dead while i was passing by and now i beg to see you dance just [Music] you make me make me make me wanna cry and now i beg to see you dance just one more time with me dance with me dance with me i never seen anybody do the things you do before yeah dance with me dance with me dance with me i never seen anybody do the things you do before [Music] hey you just want attention [Music] [Applause] i never seen anybody do the things you do before yeah i've never seen anybody do the things you do before yeah dance with me dance with me dance with me oh oh,23.976023976023978,"Henry's ""Dance Monkey + Attention"" Live Performance","A dynamic and engaging live performance by Henry, featuring a mix of music and comedy.",4,Entertainment
640x360,63,Entertainment,Film Trailers,[Animation] Murder Time Trio Hard mode Phase 4 Trailer. Made by 耀芯Asensen,"Animation made by @耀芯Asensen
Animator : 耀芯Asensen
Sprite：耀芯Asensen、IsRei
Music：Mizuki-Chan
Drawing software : Aseprite、Photoshop
Video making software : Adobe Premiere Pro

CC subtitles: @YanLobo8621 @Seldron333 

AU Author : https://www.youtube.com/@touken-kamui

Animator : https://space.bilibili.com/351217266
https://www.youtube.com/channel/UCnglfNBQPGa91MZUAJaX50g

Isrei : https://www.deviantart.com/isrei

Music : 
( Gaster Theme? ) - Made by Toby Fox ( https://youtu.be/bUqasUTHjkk?t=829 )
JIGOKUNOGOUKA  - Made by Mizuki-Chan ( https://youtu.be/bUqasUTHjkk?t=829 )",61,['Gaming'],"['Murder Time Trio Phase 4 Trailer Made by Asensen', 'Hard Mode', 'Sans', 'Undertale', 'Animation']",YLb,121799,228,1859,13000,20230507,0,"After numerous attempts... You are finally... Back here * What is this place? (shh-) With such a strong determination. How did you do it? But that is okay, ""Chaos"" is not yet fully functional I think you will give up soon * Have you finished talking? Good luck Thanks for watching I have an exam soon, so the animation ends here.",30.0,Frisk's Return and Battle with Dust Sans,"A video depicting Frisk's return to a familiar but unsettling location, culminating in a battle with Dust Sans.",5,Entertainment
640x360,233,Entertainment,Remixes,"Steel Twlvs & Hypotoria | It's Alright Remix | Luffy, Ace & Sabo Song | [OP]","Hey Guys!! Steels back at it with a REMIX!! Thanks to Hypotoria for allowing this to happen! Go Drop Him A Sub!! https://www.youtube.com/c/Hypotoria

Vocal Performance/Lyrics: Steel Twlvs, Hypotoria and Lvckii
-
Mixing & Mastering: Steel 
Twlvs
-
Instrumental Production: prod. ross gossage & sephgotthewaves
-
Video Editing: Eternal King
-
Links:
Lvckii- https://www.youtube.com/channel/UC4qp0UenSbpgAul2OQicLPw

Eternal King- https://www.youtube.com/c/EternalKingMusic

**Ignore**
#nerdcore #music #anime #fate #amv #mixing #flstudio20",574,['Music'],['#RepNextGen'],Steel Twlvs,2005,14,55,361,20220302,0,steph got the waves hey ross sauce it up [Music] i wish that i could tell you it's all right i wish that i could show you you'll be fine i just wanted to say to you this time it's all right you'll be all alright a brother's duty is a sacrifice a brother would lay it on the line i'm sorry that i couldn't win this fight it's all right you'll be all alright brother i'm sorry i think i messed it up you went through everything for me and now i'm up above i never got the chance to tell you i was full of love until the very end and now i'm flying with the doves but man i missed you i wanted to see you safe and sound and what you've been through i'm sorry i was never around tried to protect you thought that i was lost and then you found a way to save me brother gotta know i'm really proud i thought i'd finally get to tell you about my life we could spend the day together catching up by side by side but that dream was just a dream i'm sorry that i made you cry luffy no i'm watching over you from far up in the sky i wish that i could tell you it's all right i wish that i could show you you'll be fine i just wanted to say to you this time it's all right you'll be all alright a brother's duty is a sacrifice the brother would lay it on the line i'm sorry that i couldn't win this fight it's all right you'll be all alright brother can you hear me now you passed on to the other side i'm sorry i was weak i promised you i really tried look at how it ended up i'm still alive you gave your life fought until the very end protected me so i'd survive my only goal was making sure that i achieved my dreams this life just isn't what i thought it's so much worse than what it seemed i wanted us to live forever guess that's not the way it ends when the times come from myself i promise you we'll meet again brothers say goodbye forever but it is goodbye for now hope one day you're smiling down and thinking that i made you proud didn't need to thank me for the love i've shown to you cause it was true ace you're my brother and i'll never stop loving you i wish that i could tell you it's all right i wish that i could show you you'll be fine i just wanted to say to you this time it's all right you'll be all alright a brother's duty is a sacrifice a brother would lay it on the line i'm sorry that i couldn't win this fight it's all right you'll be all right inside this burning [Applause] i will hide inside my head i forgot what we had said miss my brows they think i'm dead i wish that i could tell you it's all right i wish that i could show you you'll be fine i just wanted to say to you this time it's all right you'll be all right a brother's duty is sacrifice a brother i'm sorry that i couldn't win this fight it's all right you'll be all right,30.0,"""It's Alright"" HYPOTORIA REMIX BY STEEL TWLVS","A music video exploring themes of brotherhood, loss, and remembrance.",2,Entertainment
