resolution,duration_seconds,content_parent_category,content_fine_category,youtube_title,youtube_description,youtube_tags,youtube_categories,youtube_channel,youtube_view_count,youtube_like_count,youtube_comment_count,youtube_channel_follower_count,youtube_upload_date,youtube_age_limit,youtube_thumbnail_url,sector
640x360,208,Education,Engineering Projects,Training Heavy Equipment Operators,"WorkBC has developed a Heavy Equipment Operator training course with the Southern Interior Construction Association to provide skills training opportunities in the Okanagan.

Read more: https://news.gov.bc.ca/releases/2016SDSI0016-000673","['Province of BC', 'British Columbia', 'Heavy equipment', 'construction', 'bulldozer', 'excavator', 'front loader', 'skills training', 'skills upgrade', 'skills']",['News & Politics'],GovernmentofBC,89462,555,0,34800,20160511,0,,Education
270x480,60,Education,Documentaries,Flashback to when Paul Stamets found Agarikon in the Old Growth Forest!,"Circa 2008.

Filmed by Dusty Yao

#agarikon #paulstamets #mushroomeducation #shorts","['agarikon', 'oldgrowthforest', 'paulstamets', 'shorts']",['Science & Technology'],Fungi Perfecti,367949,19411,587,159000,20221208,0,,Education
640x360,420,Education,Cultural Explainers,10 Reasons Why Australia Is The Best Country In The World,"#Geography

More fun geography videos:

100 Extraordinary Geography Facts:
https://youtu.be/-BnuqQOSKyM

40 Random Ridiculous Geography Facts:
https://youtu.be/f3EaUsEFsBA

30 Geography Facts Most People Get Wrong:
https://youtu.be/Gb7avAElTNo

🌎Subscribe to The Geography Bible to learn more about countries, geography and cities from around the world!","['australia', 'best country', 'canada vs australia', 'best country in the world', 'australia best country', 'what is the best country', 'best places to live in australia', 'australia is the best country in the world', 'why australia is best country in the world', 'australia vs canada', 'why australia is the best country in the world', 'australia country', 'uk vs australia', 'australia facts', 'best cities in australia', 'why australia is best', 'australia best place', 'australians best', 'oz', 'aus best country', 'aussie']",['Travel & Events'],The Geography Bible,114927,3067,866,164000,20210511,0,,Education
640x360,186,Education,Software Tutorials,How to Install Ring Video Doorbell 3 or 3 Plus - Wired Install,"Learn how to install Ring Video Doorbell 3 and Ring Video Doorbell 3 Plus without wiring to an existing doorbell system.

Need help with your Ring device? Visit https://support.ring.com 

Home security starts at the front door with Video Doorbell 3 – our next-generation doorbell with added security features. Always know what’s happening, day or night. Customize your motion settings, including the added near motion zone, to focus on key areas. Enjoy a more reliable connection and faster alerts with enhanced dual-band WiFi. And control it all anytime, anywhere from the Ring app. With Video Doorbell 3, you’ll be closer to home than ever before.

Build Your Ring of Security: https://shop.ring.com/pages/security-system 
Get Ring for your whole home: https://shop.ring.com
Tweet us at https://twitter.com/ring
See more Ring stories at https://facebook.com/ring
Follow us on https://instagram.com/ring
For the latest news and tips on home security, visit https://blog.ring.com

Ring provides effective, affordable whole-home security that works together to give you peace of mind. Upgrade your home security with Ring video doorbells, smart lighting, an alarm system and in 2021, an autonomously flying indoor security camera that gives you multiple viewpoints with one device. So no matter where you are, with Ring you’re always home. Check out the full line of Ring smart home security products at ring.com

#RingHelp #SecurityCamera #RingVideoDoorbell","['security cameras', 'home security system', 'security system', 'ring doorbell', 'doorbell cams', 'ring camera', 'wireless security camera', 'security camera system', 'wireless doorbell', 'Ring Alarm', 'ring doorbell 2', 'ring doorbell review', 'ring doorbell installation', 'security camera installation', 'video doorbell', 'ring video doorbell', 'ring video doorbell 3', 'home security', 'how to install ring', 'how to install ring video doorbell', 'how to install video doorbell', 'how to install security system']",['Science & Technology'],Ring,987553,3095,124,500000,20200414,0,,Education
202x360,56,Education,Marketing Strategies,Write this one thing in your email subject lines to get 40% open rates. #shorts,#email #emailmarketing #marketing #leads #sales,"['john', 'timmerman', 'email marketing', 'email profissional gmail', 'email marketing strategy', 'leads2b', 'leads marketing', 'marketing', 'digital marketing', 'sales', 'sales marketing interview', 'sales marketing', 'seo', 'performance marketing', 'business', 'leadsquared marketing automation']",['Education'],John Timmerman | Good Monster,95,5,1,311,20220721,0,,Education
640x360,604,Entertainment,Game Reviews,Forspoken after 100% Completion + Star Ocean The Divine Force PS5 First Impressions,"I think Forspoken's critique was incredibly unfair, leading the company to be bought by Square Enix. Let's talk about it after my 100% completion and Platinum Trophy. I've also started playing Star Ocean The Divine Force for the PlayStation 5.

SUPPORT THE CHANNEL: (including affiliate links)
Become a member on Youtube:  hit Join above.
Patreon: https://www.patreon.com/ircha
Nintendo eShop cards: http://irchagaming.com
Skull & Co. Switch grips: http://skullnco.com/IRCHA discount code ""IRCHA""
EpicLoot Jewelry: https://epiclootshop.com/?ref=f9ojLBA0 discount code ""IRCHA""

Discord: https://discord.gg/XmHmBMr
Podcast: http://youtube.com/diskydisk
Twitter: http://twitter.com/irchagaming
Instagram: http://instagram.com/irchagaming
Merch: https://ircha-gaming-merch.creator-spring.com
Facebook: https://facebook.com/irchagaming
Paypal: http://paypal.me/ircha
Email: irchagaming@gmail.com

00:00 Forspoken final verdict 
05:51 Star Ocean: The Divine Force

NINTENDO SWITCH REVIEWS:
Pokémon Scarlet and Violet: https://youtu.be/0gbyrBSowCM
Xenoblade Chronicles 3: https://youtu.be/lOBOVTe91EM
Fire Emblem Warriors Three Hopes: https://youtu.be/WmnNEQRU9Bg
Rune Factory 5: https://youtu.be/Dt-B6qSCbTw
Atelier Sophie 2: https://youtu.be/Gdqpt2wyaaQ
Pokémon Legends Arceus: https://youtu.be/aho8A8U1k48
Atelier Mysterious Trilogy: https://youtu.be/QB6MKKIX40M
Atelier Ryza 2: https://youtu.be/l3DSQi0ph4Y
Story of Seasons Pioneers of Olive Town: https://youtu.be/L2KC3H2fD_M
Dragon Quest Builders 2: https://youtu.be/fmdn0FQnsDM
Immortals Fenyx Rising: https://youtu.be/31aUuUH1VJg
Astral Chain: https://youtu.be/MD98Gt7-l6k
Xenoblade Chronicles DE: https://youtu.be/2K3xt2IuDmA
Ni No Kuni: https://youtu.be/k7D36xaqT3s
Atelier Ryza: https://youtu.be/41HyhbjgfRI
Graveyard Keeper: https://youtu.be/EMx5hbi5wUA
Dragon's Dogma: https://youtu.be/jz1keaHRHaQ

P.O.box:
""IRCHA GAMING""
Postboks 90
9481 Harstad
Norway

EQUIPMENT & EDITING:
Main camera: Canon 90D
Lens: Sigma 18-35mm f/1.8 DC HSM ART
Vlogging camera: Canon M50 Mark II
Audio: Røde VideoMicro
Software: Premiere Pro CC 2023
I edit everything myself.

#PlayStation5 #Forspoken #Gaming","['ircha gaming', 'nintendo switch', 'best switch games', 'gaming', 'best of switch eshop', 'awesome switch games', 'great switch games', 'what to play switch', 'addicting switch games', 'ircha', 'top switch games', 'buy or not', 'switch review', 'forspoken ps5', 'forspoken', 'forspoken review', 'star ocean the divine force', 'star ocean the divine force review', 'playstation 5', 'jrpgs', 'ps5 jrpgs', 'ps5 open world games', 'star ocean', 'Hogwarts legacy', 'square enix', 'forspoken cringe', 'star ocean the divine force gameplay']",['Gaming'],Ircha Gaming,38821,2251,468,103000,20230406,0,,Entertainment
480x360,35,Entertainment,Remixes,Prince Charles Remix,We're under the influence,"['Prince Charles', 'remix', 'rudetube', 'bbc', 'dubstep', 'influence']",['Comedy'],John Ferrier,1824,21,4,16,20130127,0,,Entertainment
640x360,183,Entertainment,Music Videos,[집방캠][4K] 헨리(HENRY) - ‘Dance Monkey’+‘Attention’ LIVE | 두시탈출 컬투쇼 | 201126,"설명이 필요 없는 음악 천재 헨리(HENRY)🎵
‘집방캠’이 헨리를 만나서 출구 없는 영상을 만들어버렸다...☆
본인 곡처럼 소화해 버린 헨리의 루프 스테이션 라이브 공연을 즐겨보세요👀👂

에라오에서 선보이는 이 시국 콘텐츠✨
'집'에서 즐기는 라디오 '방'청 1열 '캠'(CAM)📹 = 집방캠
라디오 방청 와서 1열에 앉아 있는 듯 고화질 라이브 공연을 즐기세요!

🎼[LIVE] 헨리(HENRY) - ‘Dance Monkey’+‘Attention’

#헨리 #HENRY #DanceMonkey #Attention #LoopStation
#집방캠 #컬투쇼 #두시탈출컬투쇼 #라이브

SBS 파워FM 107.7MHz
매일 낮 2시~4시 두시탈출 컬투쇼
*2020년 11월 26일* 방송중","['sbs라디오', '에라오', '라디오', '보는라디오', '헨리', 'Henry', '컬투쇼헨리', '헨리라디오', 'DanceMonkey', '댄스몽키', '헨리라이브', '루프스테이션', 'radio']",['Music'],SBS Radio 에라오,376302,0,487,1500000,20201126,0,,Entertainment
640x360,63,Entertainment,Film Trailers,[Animation] Murder Time Trio Hard mode Phase 4 Trailer. Made by 耀芯Asensen,"Animation made by @耀芯Asensen
Animator : 耀芯Asensen
Sprite：耀芯Asensen、IsRei
Music：Mizuki-Chan
Drawing software : Aseprite、Photoshop
Video making software : Adobe Premiere Pro

CC subtitles: @YanLobo8621 @Seldron333 

AU Author : https://www.youtube.com/@touken-kamui

Animator : https://space.bilibili.com/351217266
https://www.youtube.com/channel/UCnglfNBQPGa91MZUAJaX50g

Isrei : https://www.deviantart.com/isrei

Music : 
( Gaster Theme? ) - Made by Toby Fox ( https://youtu.be/bUqasUTHjkk?t=829 )
JIGOKUNOGOUKA  - Made by Mizuki-Chan ( https://youtu.be/bUqasUTHjkk?t=829 )","['Murder Time Trio Phase 4 Trailer Made by Asensen', 'Hard Mode', 'Sans', 'Undertale', 'Animation']",['Gaming'],YLb,121799,1859,228,13000,20230507,0,,Entertainment
640x360,233,Entertainment,Remixes,"Steel Twlvs & Hypotoria | It's Alright Remix | Luffy, Ace & Sabo Song | [OP]","Hey Guys!! Steels back at it with a REMIX!! Thanks to Hypotoria for allowing this to happen! Go Drop Him A Sub!! https://www.youtube.com/c/Hypotoria

Vocal Performance/Lyrics: Steel Twlvs, Hypotoria and Lvckii
-
Mixing & Mastering: Steel 
Twlvs
-
Instrumental Production: prod. ross gossage & sephgotthewaves
-
Video Editing: Eternal King
-
Links:
Lvckii- https://www.youtube.com/channel/UC4qp0UenSbpgAul2OQicLPw

Eternal King- https://www.youtube.com/c/EternalKingMusic

**Ignore**
#nerdcore #music #anime #fate #amv #mixing #flstudio20",['#RepNextGen'],['Music'],Steel Twlvs,2005,55,14,361,20220302,0,,Entertainment
